ID    VERSION           CTIME     FECHA         LINEAS    HASH
231   4.6.9-7           3.815     20/11/2017    3403      508711536379675EB4A20B24127359A7
232   4.6.9-8           3.776     20/11/2017    3403      F9A2D5F47E4C5B382D00594CCA8C8C5F
233   4.6.9-9           3.725     20/11/2017    3403      3AE0FE46B21BAEA36236F7C775480E15
234   4.7.0             3.639     20/11/2017    3403      4CD0129F9F7C18B051C464048523C58D
237   4.7.0-3           3.600     20/11/2017    3403      5C3365E0165C6C7E61A4F81635BB41DB
238   4.7.0-4           3.616     20/11/2017    3403      2D21C33376E354B4CBCE1D2582F9A6C1
239   4.7.1             3.435     22/11/2017    3403      F52D20C86CACDF1DA516623E7426ED73
240   4.7.1-1           3.432     22/11/2017    3436      905BDB6723F57C9D50481204A8A4B3D2
241   4.7.2             3.682     22/11/2017    3436      DCB22E8CD7D7DAC497C6085B2E8D8DC8
242   4.7.3             3.052     04/02/2018    3436      9736CC2C7BA5B4557E56F59EE12A20DE
243   4.7.3-1           4.134     05/02/2018    3436      5A143D102738BC1B2A5DA7F1D4193B83
244   4.7.4             3.059     04/04/2018    3436      C4C59CE7652E19676EB65F612BD3C18C
245   4.7.5             3.128     05/04/2018    3444      21BEB6ECE954AD9575D3B825867FAF0C
246   4.7.6             2.904     06/04/2018    3443      14C7488186C3B1365315EC3C81C643C2
247   5.0.0-alpha-1     3.565     20/04/2018    3899      822D2A6E31D13CDA44D3AB63651C9D2E
248   5.0.0-alpha-2     4.050     20/04/2018    3899      9EB49403CE40B2F7E7727BDDE4D8211F
249   5.0.0-alpha-3     3.592     21/04/2018    3899      EF2B7E9A1903FE8ECC3BB552B7B6FDCF
250   5.0.0-alpha-4     3.192     21/04/2018    3899      AD6849BE221BB0843EC4B81759499EC1
251   5.0.0-alpha-5     3.673     21/04/2018    3852      FFE34933C58A0D3E8DCA7E0AFDD612F8
252   5.0.0-alpha-6     3.740     21/04/2018    3860      89924379CC8201E562264B30F1DD696E
253   5.0.0-alpha-7     3.620     21/04/2018    3860      0B3CD23EE7B1F764D4BAE9A77576214C
254   5.0.0-alpha-8     3.728     21/04/2018    3866      AF5C756BA954F016A065BEFD45C9782C
255   5.0.0-alpha-9     3.751     21/04/2018    3866      6B9671DB0506B2556EF85531C80529F3
256   5.0.0-beta-1      3.592     21/04/2018    3866      28DE1A5F1C755A6DF722CB4302A1EEB4
257   5.0.0-beta-2      3.438     21/04/2018    3866      17F533C62061F56EB2987A709572575E
258   5.0.0-beta-3      3.396     22/04/2018    3886      DFAA5D9D12A963A806ABC95936B8C6FB
259   5.0.0-beta-4      3.640     22/04/2018    3886      D85728250803DF859AF81FF686D860F1
260   5.0.0-beta-5      3.633     22/04/2018    3886      8F0B56DA00A4767477BED2FA4572A390
261   5.0.0-beta-6      3.586     22/04/2018    3886      AEA5ADD7E41581281D9BD7664706D633
262   5.0.0-pre-1       4.024     22/04/2018    3886      3BD2703C78640FC61555095F1F9F015D
263   5.0.0-pre-2       3.669     22/04/2018    3886      711ADA5D87E5A44238A4F6C2F7E56F84
264   5.0.0-pre-3       4.363     22/04/2018    3886      FA201722AF154B6FD156C0610F6476BF
265   5.0.0-pre-4       4.034     22/04/2018    3886      C07804CD9F0FD59FD6AEEC5D091E5E0E
266   5.0.0             3.803     23/04/2018    3886      497D9B6603DD307DB3275C93FF6FA423
267   5.0.0-1           3.603     23/04/2018    3886      51F37CC12778A2B858EAB87BDC73D0E6
268   5.0.1             3.546     24/04/2018    3886      0C099FABC54DDD59030D9C3A3FFC9BE0
269   5.0.1-1           3.482     24/04/2018    4068      33125485D6491C690F729125D006060F
270   5.0.2             3.469     24/04/2018    4068      5F56FEFEC928D5C9704A72707282AECD
271   5.0.2-1           3.619     24/04/2018    4068      DCCE2058A453504F9602F6D534985BF1
272   5.0.3             3.657     25/04/2018    4098      24F066A88C2C3973DC095D53400EA9D1
273   5.0.4             3.239     25/04/2018    4099      A385CB703F1F754B9EC8CEA10F9ECD1D
274   5.0.5             3.512     25/04/2018    4099      1670C682FA59C0E21006D8D96AF05B7A
275   5.0.6             3.564     02/05/2018    4220      CEE256CC71FE82E9104E48D1B2611317
276   5.0.7             4.140     02/05/2018    4234      42FE7C348A19C51FC4D28AA675A00F4B
277   5.0.8             3.527     02/05/2018    4241      D158B2A0206F90983644785C2D85EEBC
278   5.1.0             3.541     02/05/2018    4241      710DF7C912753E712867A4D5488D9F7F
279   5.1.1             3.373     02/05/2018    4198      7FF39D93732A615C8ECB1E6D83A5723A
280   5.1.2             3.596     09/05/2018    4202      9BCC3294B7558BB84AF446026F8BAAC4
281   5.1.3             3.681     15/05/2018    4244      C52E63C1ECDDC1709F17EF004B3E585E
282   5.1.4             4.473     15/05/2018    4259      021D569B7D075C0080577C3B553D77C0
283   5.1.5             3.431     15/05/2018    4256      70A6C458C45CC71C22C3492CC31343BE
284   5.1.6             3.769     21/05/2018    4257      045186C0EC33C933682C75543D7A39CB
285   5.1.6-1           3.827     21/05/2018    4315      8D0B5950FDE427C6F82CAC82D89117BF
286   5.1.7             3.526     21/05/2018    4351      55957B6142C9FE9109C9A3F05785EBAD
287   5.1.8             3.378     21/05/2018    4351      10850F474C1291EB0180B022A5D3ECC6
288   5.1.9             3.444     21/05/2018    4383      A6C457131683574A990986EEA0BE0771
289   5.2.0             3.437     21/05/2018    4383      53E1B057A4B0156FC7B30C0AF6633D56
290   5.2.0-1           3.474     21/05/2018    4383      5DF4A5133E99620A99EA0C6DC1DE617D
291   5.2.0-2           3.472     21/05/2018    4383      49B482095C3340BC78A997BAE321651E
292   5.2.0-3           3.383     21/05/2018    4383      70023AA9B839B9AEA9E804075ED311A5
293   5.2.0-4           3.445     21/05/2018    4383      2CD8D9DE4B40A276CCA393360C25981B
294   5.2.0-5           3.458     21/05/2018    4383      4AC20BC14768DDA38513EF257712CDA7
295   5.2.0-6           3.451     21/05/2018    4383      D4B71571BE037470A76A1AE277E0F710
296   5.2.0-7           3.5       21/05/2018    4383      08311B3300C2663084C479282EA5808E
297   5.2.0-8           3.247     21/05/2018    4383      033BD01295A5600506E1C0099B694433
298   5.2.1             4.755     21/05/2018    4405      7364554988B93D26284146D6E80A2E33
